2008 UV99	1.17	0.24	30.3
2015 FT118	1.17	0.19	21.1
-363344	1.17	0.2	26.8
2013 GA80	1.17	0.15	32.2
2011 SR5	1.18	0.71	29.1
-88254	1.18	0.63	1.5
2007 VM184	1.18	0.52	23.3
2007 DM41	1.18	0.53	2.3
2011 JA	1.18	0.29	41.6
2012 HD20	1.18	0.27	4.7
-216985	1.18	0.26	4.7
2013 QU1	1.18	0.25	35.2
2009 WM1	1.18	0.17	25.8
2011 CG2	1.18	0.16	2.8
2011 AM24	1.18	0.15	9.1
2013 JL22	1.19	0.59	3.1
2011 EL51	1.19	0.57	11
-152754	1.19	0.5	2
-416801	1.19	0.5	16.5
2004 JQ1	1.19	0.45	32.8
2011 UT20	1.19	0.44	6.6
2012 OQ	1.19	0.39	7.1
2010 JG	1.19	0.32	23.3
2004 KB	1.19	0.29	20.7
-348314	1.19	0.28	30.1
2010 CF19	1.19	0.27	7.2
2015 FS117	1.19	0.25	28.4
-451370	1.19	0.23	5.5
2007 XH16	1.19	0.23	27.4
(162173) Ryugu	1.19	0.19	5.9
-141851	1.2	0.85	19.2
2005 PJ2	1.2	0.66	17.4
2006 BE55	1.2	0.42	2.4
2012 HZ33	1.2	0.21	23.9
2012 VO76	1.2	0.22	36.9
2015 MW53	1.2	0.2	36.5
2013 US3	1.2	0.18	12.3
2002 QQ40	1.21	0.56	1.7
-162422	1.21	0.53	1.4
-363116	1.21	0.5	21.8
2014 PG51	1.21	0.45	3.8
2014 SM143	1.21	0.42	24.2
2009 FF19	1.21	0.41	0.6
(3361) Orpheus	1.21	0.32	2.7
-438661	1.21	0.29	17.7
2008 OX1	1.21	0.28	29.7
2013 JM7	1.21	0.27	5
2009 LW2	1.21	0.26	33.2
-162162	1.21	0.19	10.8
2015 HR11	1.21	0.17	31.2
-386454	1.22	0.91	5.4
2011 WN15	1.22	0.86	33.5
-22753	1.22	0.57	3.2
2015 TY237	1.22	0.5	5.7
2001 DF47	1.22	0.37	18.5
-163132	1.22	0.3	48.8
2015 RH2	1.22	0.27	5.4
2015 JD1	1.22	0.22	19.1
2014 WE365	1.23	0.5	7.2
-436774	1.23	0.49	21.4
2008 CS1	1.23	0.37	29.9
-163818	1.23	0.35	10.4
2011 UH20	1.23	0.34	35.8
-85236	1.23	0.31	12.8
2004 UU1	1.23	0.27	30
-90403	1.23	0.28	19
-450293	1.23	0.28	35.3
-217430	1.23	0.27	13
2010 FH81	1.23	0.21	16.8
-419472	1.23	0.2	23.8
2003 FG	1.24	0.72	15.7
2015 SY16	1.24	0.5	5.3
-279816	1.24	0.4	50.7
-439877	1.24	0.37	21.6
-162474	1.24	0.36	50.7
2014 VL6	1.24	0.33	6.1
2006 VW2	1.24	0.29	10
1994 UG	1.24	0.29	5.2
2012 KC6	1.24	0.25	11.3
2008 EM7	1.24	0.24	33.1
2009 EK1	1.24	0.23	9.1
-363305	1.24	0.22	3.5
-368565	1.25	0.6	18.3
-333521	1.25	0.37	12.5
2014 NB52	1.25	0.37	24.4
2009 JR5	1.25	0.35	3.9
(1620) Geographos	1.25	0.34	13.3
-10115	1.25	0.32	15.3
1998 FF14	1.25	0.31	38.7
-417816	1.25	0.27	16.3
-162567	1.25	0.25	13.7
2010 DJ56	1.25	0.25	34.8
2013 GY7	1.25	0.23	29.6
-162082	1.25	0.19	20
2008 SY148	1.25	0.19	28.7
2002 AS4	1.26	0.8	26.9
2008 CC6	1.26	0.77	9.1
